naics_code_2022,naics_title_2022,status_code,naics_codes_2017,naics_titles_2017
455219,All Other General Merchandise Retailers,N,452319|453998|454110|454390,All Other General Merchandise Stores|All Other Miscellaneous Store Retailers (except Tobacco Stores) - general merchandise auction houses|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
456110,Pharmacies and Drug Retailers,N,446110|454110|454390,Pharmacies and Drug Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers",N,446120|454110|454390,"Cosmetics, Beauty Supplies, and Perfume Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
456130,Optical Goods Retailers,N,446130|454110|454390,Optical Goods Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
456191,Food (Health) Supplement Retailers,N,446191|454110|454390,Food (Health) Supplement Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
456199,All Other Health and Personal Care Retailers,N,446199|454110|454390,All Other Health and Personal Care Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
457110,Gasoline Stations with Convenience Stores,N,447110,Gasoline Stations with Convenience Stores
457120,Other Gasoline Stations,N,447190,Other Gasoline Stations
457210,Fuel Dealers,N,454310,Fuel Dealers
458110,Clothing and Clothing Accessories Retailers,N,448110|448120|448130|448140|448150|448190|454110|454390,Men's Clothing Stores|Women's Clothing Stores|Children's and Infants' Clothing Stores|Family Clothing Stores|Clothing Accessories Stores|Other Clothing Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
458210,Shoe Retailers,N,448210|454110|454390,Shoe Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
458310,Jewelry Retailers,N,448310|454110|454390,Jewelry Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
458320,Luggage and Leather Goods Retailers,N,448320|454110|454390,Luggage and Leather Goods Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459110,Sporting Goods Retailers,N,451110|454110|454390,Sporting Goods Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments
459120,"Hobby, Toy, and Game Retailers",N,451120|454110|454390,"Hobby, Toy, and Game Stores|Electronic Shopping and Mail-Order Houses|Other Direct Selling Establishments"
