rank,naics_code,entity_name,matrix_industry_code,matrix_industry_title,mapping_type,mapping_note,occupation_coverage_share_pct,frontline_operator_share_pct,knowledge_work_share_pct,workflow_intensity,documentation,coordination,compliance,care_service,top_occupation_1,top_occupation_2,top_occupation_3
248,336360,Motor Vehicle Seating and Interior Trim Manufacturing,336300,Motor vehicle parts manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,68.4,78.8,14.5,73.9,64.5,65.8,72.4,51.7,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.6%)",First-line supervisors of production and operating workers (4.4%),"Inspectors, testers, sorters, samplers, and weighers (4.1%)"
249,711211,Sports Teams and Clubs,711200,Spectator sports,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.6,56.8,33.2,62.8,64.9,69.5,65.7,59.8,Coaches and scouts (8.6%),Athletes and sports competitors (7.7%),Amusement and recreation attendants (6.7%)
250,488330,Navigational Services to Shipping,488300,Support activities for water transportation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,87.9,91.0,2.3,81.7,64.8,68.6,74.0,58.6,"Laborers and freight, stock, and material movers, hand (14.0%)",Sailors and marine oilers (9.7%),"Captains, mates, and pilots of water vessels (9.2%)"
251,812310,Coin‑Operated Laundries and Drycleaners,812300,Drycleaning and laundry services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.6,94.8,0.7,79.7,53.9,63.5,61.8,57.6,Laundry and dry-cleaning workers (37.0%),"Pressers, textile, garment, and related materials (9.1%)",Driver/sales workers (8.1%)
252,541380,Testing Laboratories and Services,541380,Testing laboratories and services,exact_code,BLS matrix publishes this exact industry code.,81.0,37.8,50.9,54.5,74.6,70.0,74.9,51.5,"Inspectors, testers, sorters, samplers, and weighers (12.8%)",Chemical technicians (6.4%),Chemists (5.3%)
253,541191,Title Abstract and Settlement Offices,541100,Legal services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.9,26.9,69.9,47.1,77.7,72.9,66.4,57.4,Lawyers (37.2%),Paralegals and legal assistants (23.5%),Legal secretaries and administrative assistants (10.4%)
254,541618,Other Management Consulting Services,541600,"Management, scientific, and technical consulting services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,79.1,28.1,51.7,50.8,74.1,74.0,69.0,52.3,Management analysts (12.3%),General and operations managers (7.8%),Market research analysts and marketing specialists (5.2%)
255,624310,Vocational Rehabilitation Services,624300,Vocational rehabilitation services,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",69.7,54.8,35.7,63.4,69.6,72.3,68.4,66.1,Rehabilitation counselors (10.4%),"Janitors and cleaners, except maids and housekeeping cleaners (6.1%)",Social and human service assistants (4.0%)
256,326160,Plastics Bottle Manufacturing,326100,Plastics product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,83.4,85.5,8.4,77.8,65.0,66.9,72.4,53.3,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic (12.9%)","Extruding and drawing machine setters, operators, and tenders, metal and plastic (5.5%)",First-line supervisors of production and operating workers (5.3%)
257,561599,All Other Travel Arrangement and Reservation Services,561500,Travel arrangement and reservation services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,80.5,70.2,16.9,71.6,74.3,69.6,65.3,54.1,Travel agents (24.5%),Reservation and transportation ticket agents and travel clerks (9.6%),Customer service representatives (7.0%)
258,541614,"Process, Physical Distribution and Logistics Consulting Services",541600,"Management, scientific, and technical consulting services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,79.1,28.1,51.7,50.8,74.1,74.0,69.0,52.3,Management analysts (12.3%),General and operations managers (7.8%),Market research analysts and marketing specialists (5.2%)
259,336390,Other Motor Vehicle Parts Manufacturing,336300,Motor vehicle parts manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,68.4,78.8,14.5,73.9,64.5,65.8,72.4,51.7,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic (4.6%)",First-line supervisors of production and operating workers (4.4%),"Inspectors, testers, sorters, samplers, and weighers (4.1%)"
260,311111,Dog and Cat Food Manufacturing,311100,Animal food manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.5,86.0,5.3,79.0,66.4,67.6,72.3,55.6,Packaging and filling machine operators and tenders (10.4%),Food batchmakers (8.4%),"Mixing and blending machine setters, operators, and tenders (8.1%)"
261,311511,Fluid Milk Manufacturing,311500,Dairy product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.4,89.6,5.7,80.1,65.6,66.8,73.1,55.8,Food batchmakers (15.5%),Packaging and filling machine operators and tenders (14.4%),"Laborers and freight, stock, and material movers, hand (5.0%)"
262,311830,Tortilla Manufacturing,311800,Bakeries and tortilla manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.9,94.6,1.6,80.4,57.4,62.7,67.6,56.4,Bakers (22.7%),Food batchmakers (7.9%),Packaging and filling machine operators and tenders (7.0%)
263,335313,Switchgear and Switchboard Apparatus Manufacturing,335300,Electrical equipment manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,61.8,61.7,26.7,66.4,68.3,69.4,72.4,51.5,"Inspectors, testers, sorters, samplers, and weighers (3.6%)",Electrical engineers (3.4%),First-line supervisors of production and operating workers (3.3%)
264,325211,Plastics Material and Resin Manufacturing,3250A2,"Chemical manufacturing (3255,6)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,91.4,77.5,12.8,75.1,68.5,69.2,72.8,56.1,Chemical equipment operators and tenders (11.5%),Packaging and filling machine operators and tenders (10.2%),"Mixing and blending machine setters, operators, and tenders (7.8%)"
265,811490,Other Personal and Household Goods Repair and Maintenance,811400,Personal and household goods repair and maintenance,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.9,91.4,1.4,80.3,63.4,65.4,68.3,52.0,Home appliance repairers (14.2%),Motorboat mechanics and service technicians (6.5%),General and operations managers (5.9%)
266,541890,Other Services Related to Advertising,541800,"Advertising, public relations, and related services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,84.6,37.1,45.6,53.3,67.3,72.7,62.7,51.1,Advertising sales agents (9.5%),Public relations specialists (8.0%),Market research analysts and marketing specialists (7.4%)
267,332312,Fabricated Structural Metal Manufacturing,332000,Fabricated metal product manufacturing,broad_parent,BLS matrix only publishes a broader parent line for this industry.,85.9,84.5,8.3,76.9,63.7,65.3,71.6,51.4,"Welders, cutters, solderers, and brazers (7.7%)",Machinists (7.0%),First-line supervisors of production and operating workers (4.8%)
268,311920,Coffee and Tea Manufacturing,311900,Other food manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.8,86.8,6.6,78.8,65.2,66.9,72.2,56.3,Packaging and filling machine operators and tenders (11.8%),Food batchmakers (11.5%),"Laborers and freight, stock, and material movers, hand (6.1%)"
269,311352,Confectionery Manufacturing from Purchased Chocolate,311300,Sugar and confectionery product manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.1,89.0,4.8,79.7,64.5,66.2,71.5,56.6,Food batchmakers (20.8%),Packaging and filling machine operators and tenders (8.5%),Retail salespersons (7.7%)
270,624229,Other Community Housing Services,624200,"Community food and housing, and emergency and other relief services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,86.0,44.2,40.3,59.8,72.9,74.3,68.9,70.8,Social and human service assistants (15.9%),Social and community service managers (5.6%),"Child, family, and school social workers (5.4%)"
271,711320,"Promoters of Performing Arts, Sports and Similar Events without Facilities",711300,"Promoters of performing arts, sports, and similar events",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,90.2,69.0,21.8,69.0,63.1,68.9,64.9,60.6,"Ushers, lobby attendants, and ticket takers (11.4%)","Laborers and freight, stock, and material movers, hand (8.1%)",Security guards (7.9%)
272,561410,Document Preparation Services,561400,Business support services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.1,82.2,11.6,77.4,75.4,71.7,65.9,54.6,Customer service representatives (34.1%),Telemarketers (6.7%),Bill and account collectors (6.0%)
273,211130,Natural Gas Extraction,211000,Oil and gas extraction,broad_parent,BLS matrix only publishes a broader parent line for this industry.,89.1,58.9,25.7,67.2,71.3,73.9,73.8,57.1,Wellhead pumpers (10.1%),"Service unit operators, oil and gas (9.2%)",General and operations managers (5.9%)
274,325620,Toilet Preparation Manufacturing,3250A2,"Chemical manufacturing (3255,6)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,91.4,77.5,12.8,75.1,68.5,69.2,72.8,56.1,Chemical equipment operators and tenders (11.5%),Packaging and filling machine operators and tenders (10.2%),"Mixing and blending machine setters, operators, and tenders (7.8%)"
