rank,naics_code,entity_name,matrix_industry_code,matrix_industry_title,mapping_type,mapping_note,occupation_coverage_share_pct,frontline_operator_share_pct,knowledge_work_share_pct,workflow_intensity,documentation,coordination,compliance,care_service,top_occupation_1,top_occupation_2,top_occupation_3
1,722310,Food Service Contractors,722300,Special food services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.9,94.2,1.5,79.0,51.6,62.3,61.0,61.1,Fast food and counter workers (19.9%),"Cooks, institution and cafeteria (9.2%)",Waiters and waitresses (7.4%)
2,721110,Hotels (except Casino Hotels) and Motels,721100,Traveler accommodation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,96.1,92.6,1.7,79.7,56.8,64.6,62.0,63.7,Maids and housekeeping cleaners (22.4%),"Hotel, motel, and resort desk clerks (13.1%)",Waiters and waitresses (7.2%)
3,445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),4450A1,Grocery and specialty food retailers,broad_parent,BLS matrix only publishes a broader parent line for this industry.,96.7,97.2,0.8,79.6,55.5,59.1,58.7,54.9,Cashiers (27.5%),Stockers and order fillers (20.9%),Food preparation workers (6.1%)
4,621610,Home Health Care Services,621600,Home healthcare services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,37.3,82.3,9.9,81.8,77.5,75.3,76.1,85.6,Registered nurses (11.0%),Licensed practical and licensed vocational nurses (4.5%),Nursing assistants (4.5%)
5,623312,Assisted Living Facilities for the Elderly,623300,Continuing care retirement communities and assisted living facilities for the elderly,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,70.5,90.8,2.8,82.6,65.9,70.0,69.7,76.7,Nursing assistants (15.4%),"Food servers, nonrestaurant (7.4%)",Maids and housekeeping cleaners (5.0%)
6,562111,Solid Waste Collection,562100,Waste collection,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.4,93.5,2.0,78.4,55.1,58.6,67.4,46.1,Refuse and recyclable material collectors (31.7%),Heavy and tractor-trailer truck drivers (21.8%),"Laborers and freight, stock, and material movers, hand (6.9%)"
7,812930,Parking Lots and Garages,812900,Other personal services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,87.7,90.4,4.0,80.2,65.1,65.9,65.1,63.6,Animal caretakers (33.8%),Parking attendants (16.7%),General and operations managers (4.2%)
8,621498,All Other Outpatient Care Centers,621400,Outpatient care centers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,78.5,76.4,15.4,78.5,78.9,74.5,75.7,83.6,Registered nurses (15.0%),Medical assistants (7.1%),Medical secretaries and administrative assistants (5.1%)
9,457110,Gasoline Stations with Convenience Stores,457100,Gasoline stations,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,99.3,95.9,0.3,77.8,52.3,55.3,55.4,52.5,Cashiers (60.0%),First-line supervisors of retail sales workers (10.6%),Retail salespersons (5.4%)
10,484122,"General Freight Trucking, Long‑Distance, Less Than Truckload",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
11,621492,Kidney Dialysis Centers,621400,Outpatient care centers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,78.5,76.4,15.4,78.5,78.9,74.5,75.7,83.6,Registered nurses (15.0%),Medical assistants (7.1%),Medical secretaries and administrative assistants (5.1%)
12,621511,Medical Laboratories,621500,Medical and diagnostic laboratories,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,68.4,78.8,11.8,78.3,76.1,72.0,72.3,73.1,Phlebotomists (14.6%),Radiologic technologists and technicians (5.6%),Couriers and messengers (5.4%)
13,623220,Residential Mental Health and Substance Abuse Facilities,623220,Residential mental health and substance abuse facilities,exact_code,BLS matrix publishes this exact industry code.,63.9,56.7,32.1,67.3,75.5,75.3,71.8,80.4,Social and human service assistants (7.8%),Psychiatric technicians (4.7%),Registered nurses (4.7%)
14,457120,Other Gasoline Stations,457100,Gasoline stations,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,99.3,95.9,0.3,77.8,52.3,55.3,55.4,52.5,Cashiers (60.0%),First-line supervisors of retail sales workers (10.6%),Retail salespersons (5.4%)
15,312120,Breweries,312100,Beverage manufacturing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.8,84.6,8.2,76.3,60.0,65.4,67.5,56.8,Bartenders (11.7%),Packaging and filling machine operators and tenders (8.5%),"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders (7.6%)"
16,722514,"Cafeterias, Grill Buffets, and Buffets",722000,Food services and drinking places,broad_parent,BLS matrix only publishes a broader parent line for this industry.,98.3,96.1,0.6,77.9,46.0,58.7,56.8,57.4,Fast food and counter workers (26.9%),Waiters and waitresses (16.1%),"Cooks, restaurant (10.5%)"
17,621493,Freestanding Ambulatory Surgical and Emergency Centers,621400,Outpatient care centers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,78.5,76.4,15.4,78.5,78.9,74.5,75.7,83.6,Registered nurses (15.0%),Medical assistants (7.1%),Medical secretaries and administrative assistants (5.1%)
18,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",532100,Automotive equipment rental and leasing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.0,91.1,2.1,81.0,68.7,64.9,66.1,59.6,Counter and rental clerks (29.6%),Cleaners of vehicles and equipment (11.4%),Bus and truck mechanics and diesel engine specialists (5.9%)
19,323111,Commercial Printing (except Screen and Books),323000,Printing and related support activities,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.3,84.6,8.9,77.7,65.4,70.0,69.5,55.8,Printing press operators (23.9%),Print binding and finishing workers (8.6%),Customer service representatives (4.5%)
20,484210,Used Household and Office Goods Moving,484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
21,337110,Wood Kitchen Cabinet and Counter Top Manufacturing,3370A1,"Furniture and related product manufacturing (3371,2)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,82.5,87.0,7.0,77.2,61.0,64.7,69.1,50.1,Cabinetmakers and bench carpenters (18.1%),"Woodworking machine setters, operators, and tenders, except sawing (4.7%)",First-line supervisors of production and operating workers (4.6%)
22,561621,Security Systems Services (except Locksmiths),561620,Security systems services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,84.8,83.8,7.9,78.4,70.8,71.0,72.3,49.4,Security and fire alarm systems installers (33.4%),Locksmiths and safe repairers (6.7%),General and operations managers (5.1%)
23,236118,Residential Remodelers,236100,Residential building construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.5,80.8,5.8,78.3,67.0,74.3,73.9,56.5,Carpenters (22.9%),Construction laborers (14.8%),First-line supervisors of construction trades and extraction workers (8.5%)
24,236115,New Single-family Housing Construction (Except For-Sale Builders),236100,Residential building construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.5,80.8,5.8,78.3,67.0,74.3,73.9,56.5,Carpenters (22.9%),Construction laborers (14.8%),First-line supervisors of construction trades and extraction workers (8.5%)
25,236220,Commercial and Institutional Building Construction,236200,Nonresidential building construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.6,71.7,11.5,74.3,67.0,75.4,75.3,56.1,Construction laborers (13.2%),Carpenters (13.0%),First-line supervisors of construction trades and extraction workers (12.2%)
26,484110,"General Freight Trucking, Local",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
27,531110,Lessors of Residential Buildings and Dwellings,531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
28,484121,"General Freight Trucking, Long‑Distance, Truckload",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
29,484220,"Specialized Freight (except Used Goods) Trucking, Local",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
30,236117,New Housing For-Sale Builders,236100,Residential building construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.5,80.8,5.8,78.3,67.0,74.3,73.9,56.5,Carpenters (22.9%),Construction laborers (14.8%),First-line supervisors of construction trades and extraction workers (8.5%)
31,722515,Snack and Nonalcoholic Beverage Bars,722000,Food services and drinking places,broad_parent,BLS matrix only publishes a broader parent line for this industry.,98.3,96.1,0.6,77.9,46.0,58.7,56.8,57.4,Fast food and counter workers (26.9%),Waiters and waitresses (16.1%),"Cooks, restaurant (10.5%)"
32,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
33,561720,Janitorial Services,561700,Services to buildings and dwellings,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.3,95.0,1.1,81.7,56.5,68.7,67.5,61.2,"Janitors and cleaners, except maids and housekeeping cleaners (37.6%)",Landscaping and groundskeeping workers (24.6%),Pest control workers (4.1%)
34,532111,Passenger Car Rental,532100,Automotive equipment rental and leasing,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,91.0,91.1,2.1,81.0,68.7,64.9,66.1,59.6,Counter and rental clerks (29.6%),Cleaners of vehicles and equipment (11.4%),Bus and truck mechanics and diesel engine specialists (5.9%)
35,441120,Used Car Dealers,441100,Automobile dealers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.4,89.8,3.0,79.6,63.7,65.0,66.9,56.4,Automotive service technicians and mechanics (20.3%),Retail salespersons (17.9%),Cleaners of vehicles and equipment (5.9%)
36,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,5320A1,"Rental and leasing services (5322,3,4)",broad_parent,BLS matrix only publishes a broader parent line for this industry.,88.4,82.7,7.8,77.2,66.8,67.6,69.1,57.3,"Laborers and freight, stock, and material movers, hand (8.7%)",Counter and rental clerks (7.6%),General and operations managers (6.1%)
37,484230,"Specialized Freight (except Used Goods) Trucking, Long‑Distance",484000,Truck transportation,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.8,93.3,2.5,80.1,60.6,61.4,72.7,49.5,Heavy and tractor-trailer truck drivers (58.3%),"Laborers and freight, stock, and material movers, hand (7.0%)",Bus and truck mechanics and diesel engine specialists (3.7%)
38,811210,Electronic and Precision Equipment Repair and Maintenance,811200,Electronic and precision equipment repair and maintenance,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",84.5,75.1,15.3,73.0,68.4,66.6,71.1,51.6,"Computer, automated teller, and office machine repairers (10.6%)",Medical equipment repairers (10.0%),General and operations managers (5.3%)
39,813211,Grantmaking Foundations,813200,Grantmaking and giving services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,80.3,23.9,47.8,50.3,73.8,75.3,65.8,59.1,Fundraisers (10.1%),General and operations managers (9.1%),Fundraising managers (4.1%)
40,561730,Landscaping Services,561730,Landscaping services,exact_code,BLS matrix publishes this exact industry code.,94.2,93.6,1.5,79.7,49.5,64.3,67.8,62.7,Landscaping and groundskeeping workers (61.3%),"First-line supervisors of landscaping, lawn service, and groundskeeping workers (9.1%)",Tree trimmers and pruners (4.5%)
41,522291,Consumer Lending,522290,Other nondepository credit intermediation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.2,46.4,38.2,59.1,74.5,69.5,69.3,49.0,Loan officers (20.0%),Loan interviewers and clerks (13.3%),Customer service representatives (6.0%)
42,621340,"Offices of Physical, Occupational and Speech Therapists and Audiologists",621340,"Offices of physical, occupational and speech therapists, and audiologists",exact_code,BLS matrix publishes this exact industry code.,92.0,90.0,4.5,85.6,79.0,74.9,74.0,86.6,Physical therapists (18.5%),Physical therapist assistants (10.2%),Speech-language pathologists (9.8%)
43,541219,Other Accounting Services,541200,"Accounting, tax preparation, bookkeeping, and payroll services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.7,33.3,54.8,52.1,77.8,72.0,68.6,51.9,Accountants and auditors (31.4%),"Bookkeeping, accounting, and auditing clerks (9.4%)",Tax preparers (6.3%)
44,623210,Residential Intellectual and Developmental Disability Facilities,623210,Residential intellectual and developmental disability facilities,exact_code,BLS matrix publishes this exact industry code.,27.0,57.8,26.3,68.8,75.5,75.6,72.2,78.4,Residential advisors (2.4%),Social and human service assistants (2.1%),Registered nurses (1.9%)
45,621111,Offices of Physicians (except Mental Health Specialists),621100,Offices of physicians,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,87.2,91.6,3.7,86.2,80.3,73.3,75.4,83.8,Medical assistants (15.5%),Medical secretaries and administrative assistants (8.9%),Registered nurses (7.7%)
46,531130,Lessors of Miniwarehouses and Self Storage Units,531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
47,722513,Limited-Service Restaurants,722000,Food services and drinking places,broad_parent,BLS matrix only publishes a broader parent line for this industry.,98.3,96.1,0.6,77.9,46.0,58.7,56.8,57.4,Fast food and counter workers (26.9%),Waiters and waitresses (16.1%),"Cooks, restaurant (10.5%)"
48,811111,General Automotive Repair,811110,Automotive mechanical and electrical repair and maintenance,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,97.1,92.3,1.3,80.8,63.0,63.0,72.8,52.3,Automotive service technicians and mechanics (46.3%),Bus and truck mechanics and diesel engine specialists (6.4%),"First-line supervisors of mechanics, installers, and repairers (6.1%)"
49,621210,Offices of Dentists,621200,Offices of dentists,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",98.1,97.2,0.9,87.9,74.2,74.7,74.1,83.1,Dental assistants (33.1%),Dental hygienists (20.0%),Medical secretaries and administrative assistants (10.0%)
50,561710,Exterminating and Pest Control Services,561710,Exterminating and pest control services,exact_code,BLS matrix publishes this exact industry code.,92.4,92.4,0.8,82.6,68.7,69.6,72.5,53.1,Pest control workers (60.3%),"Office clerks, general (7.2%)",General and operations managers (5.7%)
51,813110,Religious Organizations,813000,"Religious, grantmaking, civic, professional, and similar organizations",broad_parent,BLS matrix only publishes a broader parent line for this industry.,85.9,43.5,44.2,57.0,67.1,71.9,65.0,66.4,Clergy (7.4%),"Secretaries and administrative assistants, except legal, medical, and executive (5.8%)",General and operations managers (5.1%)
52,541990,"All Other Professional, Scientific and Technical Services",541900,"Other professional, scientific, and technical services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.7,70.8,21.4,72.5,73.9,70.4,70.6,67.5,Veterinary technologists and technicians (13.6%),Veterinary assistants and laboratory animal caretakers (11.6%),Veterinarians (8.2%)
53,488510,Freight Transportation Arrangement,488500,Freight transportation arrangement,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",84.6,71.3,14.5,71.8,70.5,67.9,68.0,51.0,Cargo and freight agents (21.3%),General and operations managers (5.0%),First-line supervisors of office and administrative support workers (4.7%)
54,531311,Residential Property Managers,531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
55,541611,Administrative Management and General Management Consulting Services,541600,"Management, scientific, and technical consulting services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,79.1,28.1,51.7,50.8,74.1,74.0,69.0,52.3,Management analysts (12.3%),General and operations managers (7.8%),Market research analysts and marketing specialists (5.2%)
56,722511,Full-Service Restaurants,722511,Full-service restaurants,exact_code,BLS matrix publishes this exact industry code.,97.9,96.6,0.3,77.7,43.5,57.1,58.0,56.4,Waiters and waitresses (32.3%),"Cooks, restaurant (20.0%)","Hosts and hostesses, restaurant, lounge, and coffee shop (6.6%)"
57,624190,Other Individual and Family Services,624100,Individual and family services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,27.6,40.6,46.0,58.3,75.6,74.9,69.6,75.9,Social and human service assistants (3.9%),"Child, family, and school social workers (2.8%)",Social and community service managers (1.8%)
58,812112,Beauty Salons,812100,Personal care services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.0,97.2,0.3,82.0,58.1,62.6,60.3,73.3,"Hairdressers, hairstylists, and cosmetologists (34.8%)",Manicurists and pedicurists (19.4%),Receptionists and information clerks (9.7%)
59,541211,Offices of Certified Public Accountants,541200,"Accounting, tax preparation, bookkeeping, and payroll services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.7,33.3,54.8,52.1,77.8,72.0,68.6,51.9,Accountants and auditors (31.4%),"Bookkeeping, accounting, and auditing clerks (9.4%)",Tax preparers (6.3%)
60,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,811300,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",90.7,87.8,4.4,79.6,65.6,67.3,72.2,55.4,Industrial machinery mechanics (20.7%),"Welders, cutters, solderers, and brazers (6.6%)",General and operations managers (5.2%)
61,713940,Fitness and Recreational Sports Centers,713940,Fitness and recreational sports centers,exact_code,BLS matrix publishes this exact industry code.,92.0,86.6,8.3,78.3,62.4,66.9,66.2,70.7,Exercise trainers and group fitness instructors (31.4%),Amusement and recreation attendants (8.1%),Receptionists and information clerks (8.1%)
62,813219,Other Grantmaking and Giving Services,813200,Grantmaking and giving services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,80.3,23.9,47.8,50.3,73.8,75.3,65.8,59.1,Fundraisers (10.1%),General and operations managers (9.1%),Fundraising managers (4.1%)
63,541213,Tax Preparation Services,541200,"Accounting, tax preparation, bookkeeping, and payroll services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.7,33.3,54.8,52.1,77.8,72.0,68.6,51.9,Accountants and auditors (31.4%),"Bookkeeping, accounting, and auditing clerks (9.4%)",Tax preparers (6.3%)
64,561510,Travel Agencies,561500,Travel arrangement and reservation services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,80.5,70.2,16.9,71.6,74.3,69.6,65.3,54.1,Travel agents (24.5%),Reservation and transportation ticket agents and travel clerks (9.6%),Customer service representatives (7.0%)
65,531210,Offices of Real Estate Agents and Brokers,531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
66,531312,Nonresidential Property Managers,531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
67,541330,Engineering Services,541330,Engineering services,exact_code,BLS matrix publishes this exact industry code.,84.4,16.6,70.9,43.0,72.6,74.8,74.4,46.6,Civil engineers (16.1%),Mechanical engineers (4.4%),Architectural and engineering managers (3.8%)
68,621399,Offices of All Other Miscellaneous Health Practitioners,621390,Offices of all other health practitioners,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,88.4,91.5,3.5,85.1,77.5,70.8,72.4,82.8,Medical assistants (9.0%),Massage therapists (8.7%),Receptionists and information clerks (8.1%)
69,811121,"Automotive Body, Paint and Interior Repair and Maintenance",811120,"Automotive body, paint, interior, and glass repair",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,97.0,86.6,7.0,78.0,63.6,66.7,71.5,51.7,Automotive body and related repairers (33.3%),"Coating, painting, and spraying machine setters, operators, and tenders (8.8%)",General and operations managers (5.9%)
70,531390,Other Activities Related to Real Estate,531000,Real estate,broad_parent,BLS matrix only publishes a broader parent line for this industry.,92.1,70.0,7.6,74.2,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)","Property, real estate, and community association managers (13.1%)",Real estate sales agents (8.4%)
71,541519,Other Computer Related Services,541500,Computer systems design and related services,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,81.0,11.7,71.9,40.4,72.8,70.8,70.2,49.4,Software developers (20.9%),Computer user support specialists (6.3%),Computer and information systems managers (5.3%)
72,561210,Facilities Support Services,561200,Facilities support services,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",90.0,88.6,6.8,80.1,64.6,70.9,70.5,62.9,"Janitors and cleaners, except maids and housekeeping cleaners (22.4%)",Correctional officers and jailers (7.1%),"Maintenance and repair workers, general (6.6%)"
73,492110,Couriers and Express Delivery Services,492100,Couriers and express delivery services,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",92.8,97.4,1.2,82.2,58.1,63.5,70.4,60.0,"Laborers and freight, stock, and material movers, hand (36.3%)",Light truck drivers (31.0%),Heavy and tractor-trailer truck drivers (10.9%)
74,237110,Water and Sewer Line and Related Structures Construction,237100,Utility system construction,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,93.8,88.1,4.5,80.6,63.5,72.3,76.0,56.9,Construction laborers (21.2%),Operating engineers and other construction equipment operators (10.2%),First-line supervisors of construction trades and extraction workers (9.2%)
75,623110,Nursing Care Facilities (Skilled Nursing Facilities),623100,Nursing care facilities (skilled nursing facilities),exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",93.3,93.9,2.7,85.3,70.0,71.6,72.6,84.1,Nursing assistants (33.4%),Licensed practical and licensed vocational nurses (12.2%),Registered nurses (9.1%)
76,493110,General Warehousing and Storage,493000,Warehousing and storage,broad_parent,BLS matrix only publishes a broader parent line for this industry.,93.6,93.6,3.3,80.5,60.1,65.6,67.2,57.5,"Laborers and freight, stock, and material movers, hand (22.5%)",Stockers and order fillers (20.7%),Industrial truck and tractor operators (16.6%)
77,561612,Security Guards and Patrol Services,561610,"Investigation, guard, and armored car services",numeric_parent,BLS matrix rolls this industry into a closely related parent line.,94.7,98.1,0.5,90.8,81.0,82.0,80.6,80.8,Security guards (85.3%),First-line supervisors of security workers (3.9%),General and operations managers (1.0%)
78,237310,"Highway, Street, and Bridge Construction",237300,"Highway, street, and bridge construction",exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",94.8,88.1,5.0,80.7,63.9,72.6,77.0,56.5,Construction laborers (23.1%),Operating engineers and other construction equipment operators (14.7%),First-line supervisors of construction trades and extraction workers (9.5%)
79,522130,Credit Unions,522000,Credit intermediation and related activities,broad_parent,BLS matrix only publishes a broader parent line for this industry.,90.4,55.5,31.5,63.9,74.2,70.0,69.6,51.5,Tellers (13.1%),"Securities, commodities, and financial services sales agents (10.8%)",Loan officers (9.3%)
80,522110,Commercial Banking,522000,Credit intermediation and related activities,broad_parent,BLS matrix only publishes a broader parent line for this industry.,90.4,55.5,31.5,63.9,74.2,70.0,69.6,51.5,Tellers (13.1%),"Securities, commodities, and financial services sales agents (10.8%)",Loan officers (9.3%)
81,213112,Support Activities for Oil and Gas Operations,213000,Support activities for mining,broad_parent,BLS matrix only publishes a broader parent line for this industry.,91.7,84.5,8.4,78.9,66.0,71.9,74.3,59.4,"Roustabouts, oil and gas (12.7%)","Service unit operators, oil and gas (10.5%)",Heavy and tractor-trailer truck drivers (6.7%)
82,517111,Wired Telecommunications Carriers,517000,Telecommunications,broad_parent,BLS matrix only publishes a broader parent line for this industry.,80.1,62.4,28.5,66.7,70.2,69.8,70.3,55.0,"Telecommunications equipment installers and repairers, except line installers (16.7%)",Telecommunications line installers and repairers (9.4%),Customer service representatives (7.9%)
83,523940,Portfolio Management and Investment Advice,523000,"Securities, commodity contracts, and other financial investments and related activities",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,40.5,41.2,56.7,75.5,70.5,66.7,53.0,Personal financial advisors (18.0%),"Securities, commodities, and financial services sales agents (15.2%)",Financial managers (5.7%)
84,237130,Power and Communication Line and Related Structures Construction,237130,Power and communication line and related structures construction,exact_code,BLS matrix publishes this exact industry code.,93.8,86.6,5.5,80.0,63.8,72.3,76.2,57.4,Construction laborers (15.7%),Electrical power-line installers and repairers (15.7%),First-line supervisors of construction trades and extraction workers (7.8%)
85,561320,Temporary Help Services,561320,Temporary help services,exact_code,BLS matrix publishes this exact industry code.,76.2,81.1,16.7,74.9,64.2,67.6,69.5,63.0,"Laborers and freight, stock, and material movers, hand (15.5%)",Registered nurses (3.9%),"Packers and packagers, hand (3.6%)"
86,237990,Other Heavy and Civil Engineering Construction,237900,Other heavy and civil engineering construction,exact_title,"BLS matrix publishes a title-equivalent industry, but not the exact NAICS code.",92.2,83.5,6.7,78.9,64.8,73.0,76.6,56.2,Construction laborers (22.2%),Operating engineers and other construction equipment operators (12.9%),First-line supervisors of construction trades and extraction workers (8.2%)
87,522292,Real Estate Credit,522290,Other nondepository credit intermediation,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,89.2,46.4,38.2,59.1,74.5,69.5,69.3,49.0,Loan officers (20.0%),Loan interviewers and clerks (13.3%),Customer service representatives (6.0%)
88,623311,Continuing Care Retirement Communities,623300,Continuing care retirement communities and assisted living facilities for the elderly,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,70.5,90.8,2.8,82.6,65.9,70.0,69.7,76.7,Nursing assistants (15.4%),"Food servers, nonrestaurant (7.4%)",Maids and housekeeping cleaners (5.0%)
89,622110,General Medical and Surgical Hospitals,62210S,General medical and surgical hospitals; state,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,86.4,86.7,8.7,83.5,77.0,74.0,77.8,84.6,Registered nurses (29.7%),Nursing assistants (6.0%),Medical secretaries and administrative assistants (4.3%)
90,444110,Home Centers,444100,Building material and supplies dealers,numeric_parent,BLS matrix rolls this industry into a closely related parent line.,95.3,91.6,4.5,78.2,57.6,62.9,61.3,57.5,Retail salespersons (33.8%),Cashiers (11.9%),"Laborers and freight, stock, and material movers, hand (8.5%)"
91,523150,Investment Banking and Securities Intermediation,523000,"Securities, commodity contracts, and other financial investments and related activities",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,40.5,41.2,56.7,75.5,70.5,66.7,53.0,Personal financial advisors (18.0%),"Securities, commodities, and financial services sales agents (15.2%)",Financial managers (5.7%)
92,523910,Miscellaneous Intermediation,523000,"Securities, commodity contracts, and other financial investments and related activities",broad_parent,BLS matrix only publishes a broader parent line for this industry.,83.9,40.5,41.2,56.7,75.5,70.5,66.7,53.0,Personal financial advisors (18.0%),"Securities, commodities, and financial services sales agents (15.2%)",Financial managers (5.7%)
